novice,n_ratios,accuracy,auroc,precision,recall,f1,threshold
Nonlinear CNN,2,0.8457223001402524,0.8976427151377451,0.7777777777777778,0.6666666666666666,0.717948717948718,200.18831675
Nonlinear CNN,5,0.8877980364656382,0.9419861781690808,0.8186274509803921,0.7952380952380952,0.8067632850241545,7.53754
Nonlinear CNN,10,0.8863955119214586,0.942544731610338,0.7972350230414746,0.8238095238095238,0.810304449648712,6.499405
Nonlinear CNN,15,0.8892005610098177,0.942393259490675,0.861878453038674,0.7428571428571429,0.7979539641943735,6.058091
Nonlinear CNN,20,0.8948106591865358,0.9404998579948878,0.8534031413612565,0.7761904761904762,0.8129675810473814,5.438541000000001
Nonlinear CNN,25,0.8892005610098177,0.9391271419104421,0.861878453038674,0.7428571428571429,0.7979539641943735,5.0353295
Nonlinear CNN,30,0.8920056100981767,0.9408217362491716,0.8375634517766497,0.7857142857142857,0.8108108108108109,4.46155525
Nonlinear CNN,40,0.8877980364656382,0.9362775726592825,0.8217821782178217,0.7904761904761904,0.8058252427184466,3.6935207500000002
Nonlinear CNN,50,0.8877980364656382,0.9316482060020828,0.8494623655913979,0.7523809523809524,0.7979797979797979,3.1104382499999996
Nonlinear CNN,64,0.8863955119214586,0.9199659187730759,0.8486486486486486,0.7476190476190476,0.7949367088607595,2.3500759999999996
SegFormer-B5,2,0.844319775596073,0.8994509135662216,0.7438423645320197,0.719047619047619,0.7312348668280871,293.48867674999997
SegFormer-B5,5,0.8597475455820477,0.9229669601438985,0.7350427350427351,0.819047619047619,0.7747747747747747,10.3141385
SegFormer-B5,10,0.8625525946704067,0.9241219350563288,0.7978723404255319,0.7142857142857143,0.7537688442211057,10.00090475
SegFormer-B5,15,0.8597475455820477,0.9239420619142289,0.8021978021978022,0.6952380952380952,0.7448979591836735,9.253046000000001
SegFormer-B5,20,0.8583450210378681,0.9239136608917922,0.7945945945945946,0.7,0.7443037974683544,8.43133275
SegFormer-B5,25,0.8597475455820477,0.9248130266022909,0.7546296296296297,0.7761904761904762,0.7652582159624414,7.254789499999999
SegFormer-B5,30,0.8611500701262272,0.9250497017892644,0.7905759162303665,0.719047619047619,0.7531172069825437,7.21626975
SegFormer-B5,40,0.8681626928471248,0.9266212250307677,0.7636363636363637,0.8,0.7813953488372093,5.946604499999999
SegFormer-B5,50,0.8625525946704067,0.9258827984474107,0.7616822429906542,0.7761904761904762,0.768867924528302,5.281067500000001
SegFormer-B5,64,0.8639551192145862,0.926299346776484,0.7652582159624414,0.7761904761904762,0.7706855791962175,4.48417675
